Sample	total	multidrug	peptide	tetracycline	quinolone	aminocoumarin	MLS	beta_lactam	aminoglycoside	rifamycin	phosphonic acid	diaminopyrimidine	phenicol
S1053	0.628612482249489	0.601633578643567	0.618019765264585	0.648097763309188	0.530197984815844	0.73260446985814	0.560708905516615	0.589139555581982	0.61771346080302	0.850877514428087	0.799163431807893	0.264278349440925	0.574446550129848
S1054	0.696858750218017	0.544635006821658	0.801527294421796	0.838322064086408	0.862876268094462	0.783816489788925	0.580971688517179	0.710363041746871	0.852420171785427	0.662702215107226	0.324562275175388	0.382061021933587	0.369750748883739
S1055	0.530806438629686	0.414064268543771	0.593801866309651	0.571276011302879	0.486315821344026	0.714952630717524	0.477449434963484	0.758535657957202	0.781884347387465	0.675269395904942	0.288688691581358	0.577709908191798	0.470299311726089
S1056	0.706845186316586	0.549953454012887	0.850815366977998	0.795444190979821	0.751245241955856	0.714425674672684	0.49092748970619	0.808457912987921	0.883894000769017	0.703348597736112	0.407007143004179	0.251928319702108	0.615896652666412
S1057	0.765902410731019	0.560604039137202	0.943772603591194	0.887532609946059	0.989135717980773	0.845525441653267	0.413704451149253	0.764348540812368	0.936039206549685	0.681980237595137	0.296496939072976	0.576618493267752	0.504695879659908
S1058	0.592444282110932	0.445870910840729	0.642111327539395	0.615747426546494	0.685447970560696	0.77952677131347	0.650201961486645	0.725757889748771	0.803858210298031	0.68593478124342	0.509707734235504	0.0927545717799199	0.601780042243756
S106	0.582384941116373	0.542238368467941	0.592804325745046	0.560410631043438	0.497614865901548	0.716051397570992	0.507315171635172	0.625185439106038	0.692583319165598	0.763387419659531	0.55247544239336	0.112256583212202	0.593853382415946
S1060	0.651969490482451	0.497821466767977	0.738068768363376	0.739121179754335	0.733051434793427	0.78482259626	0.323422741536181	0.694694997724029	0.873065896683219	0.69315991307558	0.292070623472846	0.415378417266187	0.606627438835553
S1062	0.67637302280259	0.511530228318029	0.792386232116298	0.757322930628735	0.792272274826228	0.722860456324925	0.543509973554673	0.75858057312292	0.886817395124273	0.698289651051	0.462901033170201	0.186871561373553	0.311365017624894
S1064	0.580035383775488	0.444829629825466	0.656342908854138	0.707007813169148	0.618442328164111	0.683315752741919	0.532335907335907	0.751927873015873	0.759018236500515	0.665980008243179	0.38014623589099	0.215372823825687	0.484643633175343
S1067	0.692752002140692	0.511404686424711	0.803605524029989	0.802414437576723	0.762111166235159	0.742935962577767	0.590911320275193	0.843107993216405	0.823999257912016	0.696634689984392	0.643709745604655	0.182053357227505	0.453445342407486
