X	Y	lm.pval	lm.coef	lm.r2
A_FEV1_FVC_Post	ARGshannon	0.004030033802645	0.0269497348886064	0.00748680784456035
A_FEV1_FVC_Post	ARGAbundance	0.0303643208278958	-0.0652444497544317	0.00425131488197306
Allergic_rhinitis	ARGshannon	0.917546416880645	0.00424999742768728	9.73861351472626e-06
Allergic_rhinitis	ARGAbundance	0.275062333752164	-0.143919134805775	0.00108194531502349
Anemia	ARGAbundance	0.562319055484364	-0.105678592655751	0.000305000954866828
Anemia	ARGshannon	0.0306653097212855	0.122585117652619	0.00423598309328652
Arrhythmia	ARGAbundance	0.620080127139633	-0.12498898885139	0.000223287141415943
Arrhythmia	ARGshannon	0.980040822565589	-0.00196343661936558	5.68729220711585e-07
Asthma	ARGAbundance	0.502975382668727	-0.187087877259822	0.000407597792051576
Asthma	ARGshannon	0.266419570708333	-0.0966020262102071	0.00112166860472675
Biofuel_exposure	ARGshannon	0.00058698583993711	0.0669873583491146	0.0106802184305725
Biofuel_exposure	ARGAbundance	0.035448950736403	0.131894364220325	0.00401139421894313
Bronchiectasis	ARGshannon	0.0445617548243486	-0.361591831600321	0.00365993527138045
Bronchiectasis	ARGAbundance	0.528593137748032	0.364729503678481	0.000360766670959293
CAT_score	ARGshannon	0.583258448630398	0.00514867869869273	0.000273471326148049
CAT_score	ARGAbundance	0.882390523666189	0.00446069554681636	1.98872079863666e-05
CHD	ARGAbundance	0.438238035056419	-0.195426583893107	0.000545867811117754
CHD	ARGshannon	0.6436684312087	-0.0363020291900979	0.000194416702380405
Chronic_Bronchitis	ARGAbundance	0.183480862283515	0.198450824607841	0.00160634294236143
Chronic_Bronchitis	ARGshannon	0.494048629625484	-0.0317686698451053	0.000424895450693681
CI_M	ARGAbundance	0.00196820770101558	-0.0931298366322704	0.00866640588392564
CI_M	ARGshannon	0.173513001597875	-0.0127695203416855	0.00168175247722545
CO_M_D10K	ARGAbundance	0.29559449336749	-0.0315251107002566	0.000993567185436166
CO_M_D10K	ARGshannon	0.0235009150177249	0.0212317639306381	0.00465165736173366
